id,Destination,Link
22,גברים,https://www.shufersal.co.il/online/he/%D7%A7%D7%98%D7%92%D7%95%D7%A8%D7%99%D7%95%D7%AA/%D7%A4%D7%90%D7%A8%D7%9D-%D7%95%D7%A7%D7%95%D7%A1%D7%9E%D7%98%D7%99%D7%A7%D7%94-/%D7%92%D7%91%D7%A8%D7%99%D7%9D/c/B05
23,תינוקות וילדים,https://www.shufersal.co.il/online/he/%D7%A7%D7%98%D7%92%D7%95%D7%A8%D7%99%D7%95%D7%AA/%D7%A4%D7%90%D7%A8%D7%9D-%D7%95%D7%A7%D7%95%D7%A1%D7%9E%D7%98%D7%99%D7%A7%D7%94-/%D7%AA%D7%99%D7%A0%D7%95%D7%A7%D7%95%D7%AA-%D7%95%D7%99%D7%9C%D7%93%D7%99%D7%9D/c/B08
24,OUTLET,https://www.shufersal.co.il/online/he/%D7%A7%D7%98%D7%92%D7%95%D7%A8%D7%99%D7%95%D7%AA/%D7%A4%D7%90%D7%A8%D7%9D-%D7%95%D7%A7%D7%95%D7%A1%D7%9E%D7%98%D7%99%D7%A7%D7%94-/OUTLET/Outlet/OUTLET/c/B100101
25,מותגים,https://www.shufersal.co.il/online/he/BeAllbrands
26,Best Sellers,https://www.shufersal.co.il/online/he/G91
27,אלקטרוניקה וסלולר,https://www.shufersal.co.il/online/he/G03
28,חשמל לבית,https://www.shufersal.co.il/online/he/G01
29,חשמל למטבח,https://www.shufersal.co.il/online/he/G02
30,"מטבח, אירוח וחד פעמי",https://www.shufersal.co.il/online/he/G14
31,גינה וחוץ,https://www.shufersal.co.il/online/he/G15
32,סלון ואווירה,https://www.shufersal.co.il/online/he/G18
33,חדר שינה,https://www.shufersal.co.il/online/he/G17
34,אמבטיה וחדר כביסה,https://www.shufersal.co.il/online/he/G19
35,DIY ולמשרד,https://www.shufersal.co.il/online/he/G20
36,GALA HOME,https://www.shufersal.co.il/online/he/G13
37,מותגים מובילים,https://www.shufersal.co.il/online/he/%D7%A7%D7%98%D7%92%D7%95%D7%A8%D7%99%D7%95%D7%AA/%D7%94%D7%A7%D7%A0%D7%99%D7%95%D7%9F-%D7%94%D7%9B%D7%9C-%D7%9C%D7%91%D7%99%D7%AA/%D7%9E%D7%95%D7%AA%D7%92%D7%99%D7%9D-%D7%9E%D7%95%D7%91%D7%99%D7%9C%D7%99%D7%9D/c/G30
38,שופרסל Online אילת,https://www.eilat.shufersal.co.il/
